Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Yumekui Merry,Merry Nightmare_sanrio,メリー【ハローキティ】,佐倉綾音,f,a,1,2020/9/29,,,71,X,,,
Dropout Idol Fruit Tart,Ino Sakura,桜 衣乃,新田ひより,m,k,0,2020/10/13,,,57,X,,,
GA Geijutsuka Art Design Class,Noda Miki_halloween,ノダミキ【ハロウィン】,徳永愛,f,p,1,2020/10/27,,,43,X,,,
Is the Order a Rabbit?,Kirima Syaro_halloween,シャロ【ハロウィン】,內田真禮,m,m,1,2020/10/27,,,43,X,,,
Kill Me Baby,Sonya_halloween,ソーニャ【ハロウィン】,田村睦心,f,m,1,2020/10/27,,,43,X,,,
School-Live!,Naoki Miki_halloween,みき【ハロウィン】,直樹 美紀,m,a,1,2020/10/27,,,43,X,,,
K-ON!,Hirasawa Yui,平沢 唯,豊崎愛生,f,w,0,2018/7/23,2018/8/30,2018/11/21,38,83,,,
こはる日和。,Onosaka Koharu,小野坂 こはる,日岡なつみ,a,a,0,2020/11/11,,,28,X,,,
ぱわーおぶすまいる。,Shinohana Mayu,篠華 まゆ,芝崎典子,a,k,0,2020/11/11,,,28,X,,,
School-Live!,Ebisuzawa Kurumi,恵飛須沢 胡桃,小澤亜李,e,w,0,2018/6/28,2018/7/23,2018/10/25,25,94,,,
Kirara Fantasia,Hakka,ハッカ,茅原実里,m,m,1,2020/11/25,,,14,X,,,
Yumekui Merry,Merry Nightmare,メリー・ナイトメア,佐倉綾音,e,m,0,2020/11/25,,,14,X,,,
Is the Order a Rabbit?,Hoto Cocoa,ココア,佐倉綾音,w,w,0,2018/11/6,2018/11/6,2018/11/6,0,0,,,
Is the Order a Rabbit?,Kafu Chino,チノ,水瀬いのり,s,m,0,2018/11/6,2018/11/6,2018/11/6,0,0,,,
Is the Order a Rabbit?,Tedeza Rize,リゼ,種田梨沙,a,k,0,2019/2/14,2019/2/14,2019/2/14,0,0,,,
Is the Order a Rabbit?,Kirima Syaro,シャロ,内田真礼,f,a,0,2019/4/25,2019/4/25,2019/9/26,0,154,,,
Is the Order a Rabbit?,Ujimatsu Chiya,千夜,佐藤聡美,w,p,0,2019/4/25,2019/4/25,2019/9/26,0,154,,,
Is the Order a Rabbit?,Jouga Maya,マヤ,徳井青空,s,w,0,2019/9/26,2019/9/26,,0,440+,,,
Is the Order a Rabbit?,Natsu Megumi,メグ,村川梨衣,s,p,0,2019/9/26,2019/9/26,,0,440+,,,
